model,cv_f1_macro_mean,cv_f1_macro_std,cv_scores
catboost,0.8512858183946956,0.005132819988911574,"[0.8483093135696805, 0.8468192358100615, 0.8597713390597657, 0.8468676882619907, 0.8546615152719803]"
lightgbm,0.8445269523384841,0.0015892319172027987,"[0.8447063201637413, 0.843942601740767, 0.8418108884891342, 0.8461474054165805, 0.8460275458821971]"
xgboost,0.8416484280958232,0.004375921070618186,"[0.8404025055817415, 0.833910447761194, 0.8468106821943263, 0.8439855132764815, 0.8431329916653725]"
random_forest,0.8225212517715977,0.007348091543590133,"[0.8116243921399979, 0.8266827973249992, 0.8281381743251256, 0.8159482313051748, 0.8302126637626911]"
logreg,0.8199222205272981,0.0051887095761363805,"[0.8145218308112131, 0.8288929088277859, 0.8152404519770508, 0.8193735465830636, 0.8215823644373779]"
