model,cv_f1_macro_mean,cv_f1_macro_std,cv_scores
catboost_native_v2,0.849685485697869,0.00565567165312153,"[0.8439942217593657, 0.8568708792899207, 0.8546544589282019, 0.8425593098490295, 0.8503485586628268]"
lightgbm_native_v2,0.846693043302697,0.007591483585154211,"[0.836807714392181, 0.8547638443216778, 0.8561720889065356, 0.8411185392111513, 0.8446030296819393]"
xgboost_v2,0.8416494037332513,0.0039981381343225965,"[0.836807714392181, 0.8382294792175471, 0.843219147202495, 0.8418383590303361, 0.8481523188236969]"
random_forest_v2,0.8236619202331734,0.005155302687776605,"[0.8145103268622464, 0.8274150723343011, 0.8287916775269231, 0.82171090713636, 0.8258816173060359]"
logreg_v2,0.8215097580654664,0.003891383161056484,"[0.8166786484543493, 0.8260221949333697, 0.8209684047295988, 0.8179806220735406, 0.8258989201364736]"
